"","X.3","X.2","X.1","X","Census.Tract","Pesticides","Tox..Release","Pollution.Burden.Score","PM2.5","Traffic","Ozone","Asthma"
"218",218,218,218,218,6077000900,21.33797238,538.5453288,7.91540827311661,11.19814029,1394.73263,0.04588368,156.91
"219",219,219,219,219,6037199900,0,1861.887675,8.85535871634892,12.7350876,2434.411276,0.04939042,52.95
"220",220,220,220,220,6037541700,0,10333.35665,7.81599222882254,12.06300382,2827.882907,0.0438112,65.97
"221",221,221,221,221,6037534101,25.17289407,4409.633464,9.03018590656383,12.02588499,3653.600878,0.04716458,52.71
"222",222,222,222,222,6077002000,11.37786284,267.7313334,7.14835729627448,11.59562174,1329.485782,0.04632538,98.75
"223",223,223,223,223,6037104401,0,706.0473124,7.97048085022858,11.28546472,2260.072102,0.06718273,81.71
"224",224,224,224,224,6037242300,0,6134.87321,6.56059939668256,12.06896138,549.1181686,0.04435661,103.63
"225",225,225,225,225,6001409000,0,626.422994,7.45886902006232,8.709957218,1717.311566,0.03064023,173.63
"226",226,226,226,226,6077002300,0.699005709,469.0310059,7.35036944075437,11.55212827,405.5401491,0.04632538,100.34
"227",227,227,227,227,6037109500,0,689.3776652,7.90169356139648,11.23023082,2115.630838,0.06718273,66.35
"228",228,228,228,228,6037127104,0,840.4380088,7.05379570763252,11.68435272,1190.090765,0.06350576,109.67
"229",229,229,229,229,6037232800,0,3495.51001,7.80225663414942,11.99449266,3324.181219,0.04490202,50.48
"230",230,230,230,230,6037434003,10.6646563,2447.977316,7.8537989582847,12.11875988,336.2833308,0.05605125,61.82
"231",231,231,231,231,6037535001,0,4572.889974,6.83915682265898,12.12263212,831.9389468,0.04490202,80.16
"232",232,232,232,232,6047002201,138.2611049,0.1716252,6.70231071683689,11.27859606,578.0383978,0.0534139,133.39
"233",233,233,233,233,6037572900,0,20606.33398,7.80593664115404,11.67703568,2340.123353,0.03975537,74.82
"234",234,234,234,234,6037530601,0,2032.473348,8.12775733890254,12.13544749,1346.099356,0.05022962,56.8
"235",235,235,235,235,6037533603,0,4435.870077,7.542474166528,12.01972823,1071.674863,0.04632538,54.25
"236",236,236,236,236,6037239602,0,4721.480021,6.90553826872971,12.11496733,3411.112037,0.04435661,113.88
"237",237,237,237,237,6037533902,25.96509008,4385.799968,7.76878510806819,12.00080859,846.9770771,0.04716458,47.15
"238",238,238,238,238,6037535603,0,5442.236694,7.62950330855666,12.07030248,1022.731152,0.04490202,52.53
"239",239,239,239,239,6059086702,0,4429.479899,7.88787630403434,12.04309152,3993.075807,0.04716458,57.05
"240",240,240,240,240,6037404802,0.124694054,1899.785685,7.88780066314168,11.95834831,2317.227733,0.05763123,66.86
"241",241,241,241,241,6077002402,0,505.7490031,7.24648540567768,11.22920627,1398.631168,0.04676708,102.09
"242",242,242,242,242,6037224010,0,2289.676616,7.54157616510801,12.22607702,2299.077818,0.04676708,81.7
"243",243,243,243,243,6037434001,3.124046172,2260.937337,7.85413847090473,12.04991184,653.6300379,0.05605125,73.28
"244",244,244,244,244,6037573201,0,14146.06673,7.24541892622473,11.70913172,835.0445932,0.03975537,91
"245",245,245,245,245,6037553701,0,9357.433392,8.52509460237924,12.05769894,3428.127249,0.0438112,61.83
"246",246,246,246,246,6107000302,4139.8568,566.8593006,7.7973374491036,13.56170465,850.3609384,0.06350576,58.95
